branch,flow_mw,limit_mva,abs_flow_mw,pct_of_limit
12  TO  13 CKT 1,-65.0,65.0,65.0,100.0
9  TO  11 CKT 1,-65.0,65.0,65.0,100.0
5  TO  7 CKT 1,55.839208843583194,70.0,55.839208843583194,79.770298347976
6  TO  28 CKT 1,53.99733753332973,260.0,53.99733753332973,20.768206743588358
1  TO  3 CKT 1,51.316430624817954,130.0,51.316430624817954,39.47417740370612
9  TO  10 CKT 1,49.457144279341655,520.0,49.457144279341655,9.51098928448878
28  TO  27 CKT 1,43.179084627188516,520.0,43.179084627188516,8.303670120613175
2  TO  4 CKT 1,40.3288896826332,65.0,40.3288896826332,62.04444566558954
2  TO  6 CKT 1,38.89434486497069,65.0,38.89434486497069,59.83745363841645
6  TO  7 CKT 1,-38.839208843583194,130.0,38.839208843583194,29.876314495063994
1  TO  2 CKT 1,35.06679189628169,130.0,35.06679189628169,26.974455304832073
10  TO  21 CKT 1,26.590363880969313,520.0,26.590363880969313,5.1135315155710215
4  TO  12 CKT 1,26.03899999999995,65.0,26.03899999999995,40.059999999999924
25  TO  26 CKT 1,25.0,520.0,25.0,4.8076923076923075
22  TO  24 CKT 1,24.29125188173856,520.0,24.29125188173856,4.671394592642031
24  TO  25 CKT 1,22.92163522262225,260.0,22.92163522262225,8.816013547162404
12  TO  15 CKT 1,21.527629853751662,32.0,21.527629853751662,67.27384329297395
8  TO  28 CKT 1,18.91726432605555,520.0,18.91726432605555,3.6379354473183754
27  TO  29 CKT 1,17.97295485048249,260.0,17.97295485048249,6.912674942493266
27  TO  30 CKT 1,16.127764999328278,520.0,16.127764999328278,3.101493269101592
10  TO  22 CKT 1,15.327117025274543,260.0,15.327117025274543,5.8950450097209774
3  TO  4 CKT 1,14.316430624817958,130.0,14.316430624817958,11.01263894216766
2  TO  5 CKT 1,-14.16079115641681,130.0,14.16079115641681,10.892916274166778
6  TO  8 CKT 1,-13.082735673944445,32.0,13.082735673944445,40.88354898107639
12  TO  14 CKT 1,12.993391877318523,260.0,12.993391877318523,4.997458414353278
21  TO  22 CKT 1,12.968394937438092,260.0,12.968394937438092,4.987844206706959
6  TO  10 CKT 1,11.825232399507655,32.0,11.825232399507655,36.95385124846142
15  TO  23 CKT 1,11.638008402644415,520.0,11.638008402644415,2.2380785389700795
10  TO  20 CKT 1,10.706572488058107,32.0,10.706572488058107,33.458039025181584
10  TO  17 CKT 1,8.669196075660626,260.0,8.669196075660626,3.3343061829463947
19  TO  20 CKT 1,-7.706572488058108,16.0,7.706572488058108,48.166078050363176
6  TO  9 CKT 1,5.457144279341657,65.0,5.457144279341657,8.395606583602548
12  TO  16 CKT 1,5.08151142250278,16.0,5.08151142250278,31.759446390642378
29  TO  30 CKT 1,4.972954850482491,520.0,4.972954850482491,0.9563374712466329
23  TO  24 CKT 1,4.638008402644414,520.0,4.638008402644414,0.8919246928162334
4  TO  6 CKT 1,-3.5497726474182585,90.0,3.5497726474182585,3.944191830464731
18  TO  19 CKT 1,-2.706572488058107,16.0,2.706572488058107,16.91607805036317
16  TO  17 CKT 1,-2.669196075660624,16.0,2.669196075660624,16.6824754728789
14  TO  15 CKT 1,-2.5923789182874093,16.0,2.5923789182874093,16.20236823929631
25  TO  27 CKT 1,-2.0783647773777503,520.0,2.0783647773777503,0.3996855341111058
15  TO  18 CKT 1,0.29342751194189187,16.0,0.29342751194189187,1.8339219496368242
