From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Lim MVA A,Lim MVA B,Lim MVA C
1,Glen Lyn,2,Claytor,1,Closed,Line,NO,0.0192,0.0575,0.0528,130.0,0.0,0.0
1,Glen Lyn,3,Kumis,1,Closed,Line,NO,0.0452,0.1652,0.0408,130.0,0.0,0.0
2,Claytor,4,Hancock,1,Closed,Line,NO,0.057,0.1737,0.0368,65.0,0.0,0.0
2,Claytor,5,Fieldale,1,Closed,Line,NO,0.0472,0.1983,0.0418,130.0,0.0,0.0
2,Claytor,6,Roanoke,1,Closed,Line,NO,0.0581,0.1763,0.0374,65.0,0.0,0.0
3,Kumis,4,Hancock,1,Closed,Line,NO,0.0132,0.0379,0.0084,130.0,0.0,0.0
4,Hancock,6,Roanoke,1,Closed,Line,NO,0.0119,0.0414,0.009,90.0,0.0,0.0
4,Hancock,12,Hancock,1,Closed,Transformer,YES,0.0,0.256,0.0,65.0,0.0,0.0
5,Fieldale,7,Blaine,1,Closed,Line,NO,0.046,0.116,0.0204,70.0,0.0,0.0
6,Roanoke,7,Blaine,1,Closed,Line,NO,0.0267,0.082,0.017,130.0,0.0,0.0
6,Roanoke,8,Reusens,1,Closed,Line,NO,0.012,0.042,0.009,32.0,0.0,0.0
6,Roanoke,9,Roanoke,1,Closed,Transformer,YES,0.0,0.208,0.0,65.0,0.0,0.0
6,Roanoke,10,Roanoke,1,Closed,Transformer,YES,0.0,0.556,0.0,32.0,0.0,0.0
6,Roanoke,28,Cloverdl,1,Closed,Line,NO,0.0169,0.0599,0.013,260.0,0.0,0.0
8,Reusens,28,Cloverdl,1,Closed,Line,NO,0.0636,0.2,0.0428,520.0,0.0,0.0
9,Roanoke,10,Roanoke,1,Closed,Line,NO,0.0,0.11,0.0,520.0,0.0,0.0
9,Roanoke,11,Roanoke,1,Closed,Line,NO,0.0,0.208,0.0,65.0,0.0,0.0
10,Roanoke,17,Bus 17,1,Closed,Line,NO,0.0324,0.0845,0.0,260.0,0.0,0.0
10,Roanoke,20,Bus 20,1,Closed,Line,NO,0.0936,0.209,0.0,32.0,0.0,0.0
10,Roanoke,21,Bus 21,1,Closed,Line,NO,0.0348,0.0749,0.0,520.0,0.0,0.0
10,Roanoke,22,Bus 22,1,Closed,Line,NO,0.0727,0.1499,0.0,260.0,0.0,0.0
12,Hancock,13,Hancock,1,Closed,Line,NO,0.0,0.14,0.0,65.0,0.0,0.0
12,Hancock,14,Bus 14,1,Closed,Line,NO,0.1231,0.2559,0.0,260.0,0.0,0.0
12,Hancock,15,Bus 15,1,Closed,Line,NO,0.0662,0.1304,0.0,32.0,0.0,0.0
12,Hancock,16,Bus 16,1,Closed,Line,NO,0.0945,0.1987,0.0,16.0,0.0,0.0
14,Bus 14,15,Bus 15,1,Closed,Line,NO,0.221,0.1997,0.0,16.0,0.0,0.0
15,Bus 15,18,Bus 18,1,Closed,Line,NO,0.1073,0.2185,0.0,16.0,0.0,0.0
15,Bus 15,23,Bus 23,1,Closed,Line,NO,0.1,0.202,0.0,520.0,0.0,0.0
16,Bus 16,17,Bus 17,1,Closed,Line,NO,0.0524,0.1923,0.0,16.0,0.0,0.0
18,Bus 18,19,Bus 19,1,Closed,Line,NO,0.0639,0.1292,0.0,16.0,0.0,0.0
19,Bus 19,20,Bus 20,1,Closed,Line,NO,0.034,0.068,0.0,16.0,0.0,0.0
21,Bus 21,22,Bus 22,1,Closed,Line,NO,0.0116,0.0236,0.0,260.0,0.0,0.0
22,Bus 22,24,Bus 24,1,Closed,Line,NO,0.115,0.179,0.0,520.0,0.0,0.0
23,Bus 23,24,Bus 24,1,Closed,Line,NO,0.132,0.27,0.0,520.0,0.0,0.0
24,Bus 24,25,Bus 25,1,Closed,Line,NO,0.1885,0.3292,0.0,260.0,0.0,0.0
25,Bus 25,26,Bus 26,1,Closed,Line,NO,0.2544,0.38,0.0,520.0,0.0,0.0
25,Bus 25,27,Cloverdl,1,Closed,Line,NO,0.1093,0.2087,0.0,520.0,0.0,0.0
27,Cloverdl,29,Bus 29,1,Closed,Line,NO,0.2198,0.4153,0.0,260.0,0.0,0.0
27,Cloverdl,30,Bus 30,1,Closed,Line,NO,0.3202,0.6027,0.0,520.0,0.0,0.0
28,Cloverdl,27,Cloverdl,1,Closed,Transformer,YES,0.0,0.396,0.0,520.0,0.0,0.0
29,Bus 29,30,Bus 30,1,Closed,Line,NO,0.2399,0.4533,0.0,520.0,0.0,0.0
