bus,price,amount,cleared
1,22,2.0,2.0
1,21,9.0,9.0
1,20,5.0,5.0
1,20,3.0,3.0
1,20,2.0,2.0
1,20,2.0,2.0
1,20,1.0,1.0
1,18,9.0,9.0
1,18,2.0,2.0
1,17,4.0,4.0
1,17,1.0,1.0
1,16,7.0,7.0
1,16,6.0,6.0
1,16,6.0,6.0
1,15,5.0,5.0
1,15,4.0,4.0
1,15,2.0,2.0
1,14,12.0,12.0
1,14,1.0,1.0
1,14,1.0,1.0
1,11,1.0,1.0
1,10,9.0,9.0
1,9,3.0,3.0
1,8,14.0,14.0
1,8,12.0,12.0
1,5,3.0,0.0
1,4,6.0,0.0
1,4,3.0,0.0
1,4,2.0,0.0
1,3,5.0,0.0
1,3,3.0,0.0
1,3,2.0,0.0
1,2,3.0,0.0
2,23,7.0,7.0
2,21,5.0,5.0
2,20,13.0,13.0
2,20,11.0,11.0
2,20,3.0,3.0
2,19,4.0,4.0
2,19,4.0,4.0
2,18,11.0,11.0
2,18,4.0,4.0
2,17,3.0,3.0
2,17,3.0,3.0
2,17,2.0,2.0
2,14,7.0,7.0
2,14,4.0,4.0
2,14,2.0,2.0
2,13,3.0,3.0
2,12,14.0,14.0
2,12,6.0,6.0
2,11,6.0,6.0
2,11,2.0,2.0
2,9,3.0,3.0
2,8,11.0,11.0
2,8,4.0,4.0
2,7,8.0,0.0
2,7,5.0,0.0
2,6,7.0,0.0
2,6,2.0,0.0
2,4,13.0,0.0
2,3,2.0,0.0
2,3,1.0,0.0
2,3,1.0,0.0
2,2,4.0,0.0
3,23,3.0,3.0
3,22,1.0,1.0
3,20,6.0,6.0
3,16,5.0,5.0
3,15,6.0,6.0
3,12,3.0,3.0
3,9,5.0,5.0
3,9,3.0,3.0
3,8,10.0,10.0
3,3,4.0,0.0
3,3,1.0,0.0
4,24,3.0,3.0
4,23,4.0,4.0
4,23,4.0,4.0
4,22,3.0,3.0
4,22,1.0,1.0
4,20,3.0,3.0
4,20,1.0,1.0
4,19,9.0,9.0
4,18,4.0,4.0
4,18,1.0,1.0
4,15,6.0,6.0
4,14,9.0,0.0
4,14,5.0,0.030179997469651637
4,14,1.0,0.0
4,8,7.0,0.0
4,8,3.0,0.0
4,8,1.0,0.0
4,7,6.0,0.0
4,7,1.0,0.0
4,6,6.0,0.0
4,5,14.0,0.0
4,4,2.0,0.0
4,3,12.0,0.0
4,2,1.0,0.0
5,24,1.0,1.0
5,23,3.0,3.0
5,22,5.0,5.0
5,22,3.0,3.0
5,22,3.0,3.0
5,21,3.0,3.0
5,20,9.0,9.0
5,20,5.0,5.0
5,20,3.0,3.0
5,20,1.0,1.0
5,20,1.0,1.0
5,19,6.0,6.0
5,19,5.0,5.0
5,19,2.0,2.0
5,17,5.0,5.0
5,17,5.0,5.0
5,17,5.0,5.0
5,17,1.0,1.0
5,15,6.0,6.0
5,15,4.0,4.0
5,15,3.0,3.0
5,14,10.0,10.0
5,13,9.0,9.0
5,13,8.0,8.0
5,13,4.0,4.0
5,13,2.0,2.0
5,13,2.0,2.0
5,10,9.0,9.0
5,10,4.0,4.0
5,10,2.0,2.0
5,7,2.0,2.0
5,2,1.0,0.0
6,24,2.0,2.0
6,21,17.0,17.0
6,15,5.0,5.0
6,13,4.0,4.0
6,11,1.0,1.0
6,8,3.0,3.0
6,7,6.0,6.0
6,6,3.0,0.0
6,3,6.0,0.0
6,2,10.0,0.0
7,23,10.0,10.0
7,21,4.0,4.0
7,21,1.0,1.0
7,20,1.0,1.0
7,20,1.0,1.0
7,19,4.0,4.0
7,19,4.0,4.0
7,17,6.0,6.0
7,16,1.0,1.0
7,15,2.0,2.0
7,13,2.0,2.0
7,12,1.0,1.0
7,11,8.0,8.0
7,10,5.0,5.0
7,8,4.0,4.0
7,8,3.0,3.0
7,7,2.0,2.0
7,6,8.0,0.0
7,6,6.0,0.0
7,6,5.0,0.0
7,5,5.0,0.0
7,4,3.0,0.0
7,4,1.0,0.0
7,3,8.0,0.0
7,3,1.0,0.0
9,24,5.0,5.0
9,24,3.0,3.0
9,23,7.0,7.0
9,22,2.0,2.0
9,21,9.0,9.0
9,21,7.0,7.0
9,21,5.0,5.0
9,20,9.0,9.0
9,19,2.0,2.0
9,18,9.0,9.0
9,18,5.0,5.0
9,18,2.0,2.0
9,17,4.0,4.0
9,17,1.0,1.0
9,17,1.0,1.0
9,15,2.0,2.0
9,15,1.0,1.0
9,14,6.0,6.0
9,14,6.0,6.0
9,14,4.0,4.0
9,12,7.0,7.0
9,12,2.0,2.0
9,11,3.0,3.0
9,11,1.0,1.0
9,10,7.0,7.0
9,10,2.0,2.0
9,9,2.0,2.0
9,8,6.0,6.0
9,8,2.0,2.0
9,6,8.0,0.0
9,5,1.0,0.0
9,3,3.0,0.0
9,3,3.0,0.0
9,3,2.0,0.0
11,23,5.0,5.0
11,21,6.0,6.0
11,20,5.0,5.0
11,18,1.0,1.0
11,16,6.0,6.0
11,15,7.0,7.0
11,14,5.0,5.0
11,12,4.0,4.0
11,12,2.0,2.0
11,11,8.0,8.0
11,11,2.0,2.0
11,8,11.0,11.0
11,8,2.0,2.0
11,6,8.0,0.0
11,6,1.0,0.0
11,4,2.0,0.0
12,24,4.0,4.0
12,23,6.0,6.0
12,23,2.0,2.0
12,22,4.0,4.0
12,22,2.0,2.0
12,21,9.0,9.0
12,21,5.0,5.0
12,20,4.0,4.0
12,19,2.0,2.0
12,18,15.0,15.0
12,18,5.0,5.0
12,18,4.0,4.0
12,16,3.0,3.0
12,16,3.0,3.0
12,15,9.0,9.0
12,13,4.0,4.0
12,12,2.0,2.0
12,11,4.0,4.0
12,10,4.0,4.0
12,9,11.0,11.0
12,9,5.0,5.0
12,9,3.0,3.0
12,8,5.0,5.0
12,5,6.0,0.0
12,5,5.0,0.0
12,4,2.0,0.0
12,4,1.0,0.0
12,2,5.0,0.0
13,24,8.0,8.0
13,24,1.0,1.0
13,20,7.0,7.0
13,19,1.0,1.0
13,19,1.0,1.0
13,18,4.0,4.0
13,16,10.0,10.0
13,15,9.0,9.0
13,14,1.0,1.0
13,11,1.0,1.0
13,10,5.0,5.0
13,10,5.0,5.0
13,4,5.0,0.0
13,2,8.0,0.0
14,23,9.0,9.0
14,23,3.0,3.0
14,22,6.0,6.0
14,22,4.0,4.0
14,21,9.0,9.0
14,21,6.0,6.0
14,18,7.0,7.0
14,15,5.0,5.0
14,14,8.0,8.0
14,12,2.0,2.0
14,11,7.0,7.0
14,11,5.0,5.0
14,10,2.0,2.0
14,9,2.0,0.0
14,8,7.0,0.0
14,8,3.0,0.0
14,5,4.0,0.0
14,5,1.0,0.0
14,3,1.0,0.0
14,2,3.0,0.0
15,23,7.0,7.0
15,23,3.0,3.0
15,21,7.0,7.0
15,21,3.0,3.0
15,21,2.0,2.0
15,20,3.0,3.0
15,19,4.0,4.0
15,18,6.0,6.0
15,18,5.0,5.0
15,18,2.0,2.0
15,17,3.0,3.0
15,17,2.0,2.0
15,15,7.0,7.0
15,15,3.0,3.0
15,13,9.0,9.0
15,12,2.0,2.0
15,12,2.0,2.0
