bid_id,source,sink,quantity,price
B1,10,18,160,33
B2,10,20,120,12
B3,1,14,90,33
B4,10,18,150,22
B5,3,24,170,29
B6,22,21,60,11
B7,6,13,190,17
B8,8,21,120,13
B9,21,8,220,15
B10,10,14,110,25
B11,21,8,240,34
B12,10,18,110,27
B13,16,4,80,22
B14,10,18,100,17
B15,3,24,140,22
B16,4,16,110,27
B17,21,8,110,12
B18,2,7,70,14
B19,21,8,200,32
B20,8,21,110,17
B21,23,21,130,18
B22,8,21,100,34
B23,3,24,80,27
B24,8,14,50,24
B25,6,13,240,24
B26,21,8,80,20
B27,3,24,90,20
B28,1,14,120,28
B29,21,8,230,22
B30,13,6,140,17
B31,21,8,220,21
B32,13,6,240,31
B33,18,10,150,12
B34,21,8,100,32
B35,16,4,100,35
B36,6,13,80,25
B37,8,21,100,31
B38,10,18,200,27
B39,3,24,140,13
B40,6,13,210,22
B41,8,21,170,16
B42,10,18,220,31
B43,10,18,90,28
B44,3,24,220,27
B45,16,18,40,17
B46,21,8,180,14
B47,10,18,230,24
B48,8,21,210,22
B49,24,3,160,14
B50,10,18,150,27
B51,4,16,190,13
B52,1,14,220,25
B53,21,8,190,19
B54,8,21,230,32
B55,1,2,40,21
B56,18,9,30,10
B57,24,3,180,31
B58,24,3,150,22
B59,6,13,120,29
B60,16,4,150,25
B61,16,4,180,26
B62,21,8,120,27
B63,21,8,120,21
B64,4,16,160,28
B65,6,13,190,12
B66,6,13,150,20
B67,14,1,160,12
B68,16,4,230,15
B69,13,6,90,25
B70,16,4,160,14
B71,8,21,170,30
B72,4,12,150,11
B73,8,21,180,16
B74,10,18,90,13
B75,4,16,230,35
B76,1,14,100,17
B77,18,22,40,9
B78,16,4,80,13
B79,1,3,50,9
B80,6,13,170,31
