bid_id,source,sink,quantity,price,awarded_mw
B1,10,18,160.0,33.0,160.0
B2,10,20,120.0,12.0,44.62953962609295
B3,1,14,90.0,33.0,90.0
B4,10,18,150.0,22.0,150.0
B5,3,24,170.0,29.0,170.0
B6,22,21,60.0,11.0,60.0
B7,6,13,190.0,17.0,0.0
B8,8,21,120.0,13.0,120.0
B9,21,8,220.0,15.0,220.0
B10,10,14,110.0,25.0,110.0
B11,21,8,240.0,34.0,240.0
B12,10,18,110.0,27.0,110.0
B13,16,4,80.0,22.0,0.0
B14,10,18,100.0,17.0,25.90452817829987
B15,3,24,140.0,22.0,140.0
B16,4,16,110.0,27.0,110.0
B17,21,8,110.0,12.0,0.0
B18,2,7,70.0,14.0,0.0
B19,16,13,130.0,14.0,130.0
B20,8,21,110.0,17.0,110.0
B21,23,21,130.0,18.0,130.0
B22,8,21,100.0,34.0,100.0
B23,3,24,80.0,27.0,80.0
B24,8,14,50.0,24.0,50.0
B25,6,13,240.0,24.0,240.0
B26,21,8,80.0,20.0,80.0
B27,17,19,150.0,11.0,150.0
B28,2,9,100.0,18.0,95.01527255738071
B29,6,13,220.0,24.0,195.0
B30,11,23,100.0,13.0,100.0
B31,21,8,230.0,24.0,230.0
B32,15,10,50.0,29.0,50.0
B33,5,1,150.0,29.0,135.63987128266265
B34,16,4,120.0,23.0,95.0
B35,21,8,100.0,32.0,100.0
B36,16,4,100.0,35.0,100.0
B37,6,13,80.0,25.0,80.0
B38,19,8,40.0,10.0,0.0
B39,1,10,110.0,29.0,110.0
B40,16,17,60.0,10.0,60.0
B41,8,21,240.0,16.0,240.0
B42,22,14,80.0,25.0,80.0
B43,18,19,110.0,17.0,110.0
B44,21,8,170.0,26.0,170.0
B45,11,23,120.0,26.0,120.0
B46,10,18,90.0,28.0,90.0
B47,3,24,220.0,27.0,220.0
B48,16,18,40.0,17.0,40.0
B49,21,8,180.0,14.0,18.30146193084809
B50,10,18,230.0,24.0,230.0
B51,15,3,50.0,21.0,50.0
B52,24,3,160.0,14.0,160.0
B53,23,10,100.0,15.0,100.0
B54,16,22,160.0,18.0,160.0
B55,4,16,90.0,26.0,90.0
B56,23,6,150.0,18.0,150.0
B57,21,8,140.0,32.0,140.0
B58,14,1,110.0,25.0,110.0
B59,18,9,30.0,10.0,30.0
B60,24,3,180.0,31.0,180.0
B61,24,3,150.0,22.0,150.0
B62,6,13,120.0,29.0,120.0
B63,16,4,150.0,25.0,150.0
B64,16,4,180.0,26.0,180.0
B65,21,8,120.0,27.0,120.0
B66,16,14,160.0,12.0,160.0
B67,8,21,140.0,31.0,140.0
B68,8,21,130.0,35.0,130.0
B69,12,1,60.0,12.0,0.0
B70,3,24,150.0,20.0,150.0
B71,14,1,160.0,12.0,0.0
B72,11,18,70.0,23.0,70.0
B73,13,6,90.0,25.0,90.0
B74,16,4,160.0,14.0,0.0
B75,8,10,120.0,28.0,120.0
B76,4,12,150.0,11.0,150.0
B77,8,21,180.0,16.0,180.0
B78,10,18,90.0,13.0,0.0
B79,11,1,160.0,23.0,160.0
B80,19,1,80.0,10.0,0.0
B81,6,13,100.0,13.0,0.0
B82,16,4,80.0,13.0,0.0
B83,1,3,50.0,9.0,50.0
B84,5,17,80.0,17.0,58.26473938552607
B85,23,6,220.0,18.0,220.0
B86,21,13,120.0,28.0,120.0
B87,2,20,60.0,16.0,60.0
B88,19,5,160.0,30.0,160.0
B89,9,3,140.0,9.0,140.0
B90,24,3,130.0,28.0,130.0
