bus,LMP,Load Cleared,Gen Cleared,Gen Cost,Gen Pmin,Gen Pmax
1,2.9999999999999982,,24.50779868479596,3.0,0.0,890.0
2,2.843005763536695,45.0,,,,
3,3.0665134873157474,63.0,,,,
4,3.3892980277367872,,20.0,10.0,20.0,1010.0
5,3.452465622737371,28.0,,,,
6,3.101436082317157,,0.0,6.0,0.0,1150.0
7,2.966732067634375,52.0,,,,
8,-3.3728730395558384,,0.0,5.0,0.0,1450.0
9,-3.3728730395558384,54.0,,,,
10,-3.3728730395558384,,0.0,5.0,0.0,1090.0
11,2.84373593143712,63.0,,,,
12,2.7465814248782383,,30.0,14.0,30.0,1090.0
13,1.97052835576865,103.0,,,,
14,1.7637593396234843,68.0,,,,
15,-0.9453425906663622,,10.0,10.0,10.0,1550.0
16,2.6543829895084112,71.0,,,,
17,-1.8185660804590884,79.0,,,,
18,-7.999999999999997,,260.0,-8.0,0.0,1180.0
19,-1.1642625270624043,,20.0,12.0,20.0,900.0
20,-1.127631993733063,90.0,,,,
21,-1.1005012624434816,81.0,,,,
22,-1.0700152196224373,74.0,,,,
23,-1.0185976755341306,79.0,,,,
24,-1.7178501061208484,,0.0,9.0,0.0,1430.0
25,-1.0162712580214128,,0.0,2.0,0.0,1300.0
26,-8.0,,260.0,-8.0,0.0,1240.0
27,0.29799345847835745,,40.0,12.0,40.0,1290.0
28,0.3781488057429554,90.0,,,,
29,0.46519219163962244,95.0,,,,
30,-2.015759669617297,50.0,,,,
31,-7.0,,451.70688889642594,-7.0,0.0,1540.0
32,0.6521649272128469,,30.0,10.0,30.0,1040.0
33,-0.9829449490827882,66.0,,,,
34,-1.0000000000000009,,58.49717156125125,-1.0,0.0,1090.0
35,-1.0102070673202777,55.0,,,,
36,-3.000000000000001,,260.0,-3.0,0.0,1040.0
37,-1.0267738744750075,55.0,,,,
38,-1.2683981731686638,58.0,,,,
39,-0.8565709931729959,56.0,,,,
40,-0.7592655035690523,,0.0,0.0,0.0,1340.0
41,-0.6817928899363892,86.0,,,,
42,-0.4681701392689561,,40.0,12.0,40.0,1140.0
43,-0.38719582675082,76.0,,,,
44,0.5088440434097699,80.0,,,,
45,-0.0976385772304571,53.0,,,,
46,-0.08216612784337318,,30.0,14.0,30.0,1270.0
47,-0.40756137531903747,93.0,,,,
48,0.424889154444819,69.0,,,,
49,0.5599874062118531,,40.0,13.0,40.0,1420.0
50,-0.31469989483486405,67.0,,,,
51,-1.3879282214365238,56.0,,,,
52,-1.6610656720741726,71.0,,,,
53,-2.420116580815972,64.0,,,,
54,-2.985549211891051,,0.0,4.0,0.0,1460.0
55,-3.1593077662886917,,20.0,10.0,20.0,1400.0
56,-3.000000000000001,,289.26159704393797,-3.0,0.0,1210.0
57,-1.8767341903852732,58.0,,,,
58,-2.0760638435327796,65.0,,,,
59,-5.937637655451519,,20.0,11.0,20.0,1330.0
60,-7.229147076073896,52.0,,,,
61,-7.234092731378819,,40.0,14.0,40.0,1100.0
62,-7.70575488312844,,10.0,10.0,10.0,1230.0
63,-6.730470389526755,36.0,,,,
64,-7.140455153953526,81.0,,,,
65,-7.653433959858138,,40.0,11.0,40.0,1740.0
66,-10.0,,387.2931179235752,-10.0,0.0,1270.0
67,-8.934028337977558,53.0,,,,
68,-6.842010477640171,45.0,,,,
69,-5.423744889946446,,10.0,11.0,10.0,1280.0
70,-4.63751595010877,,10.0,13.0,10.0,1530.0
71,-4.385645623803434,88.0,,,,
72,-3.1075880976656363,,0.0,9.0,0.0,1650.0
73,-4.385645623803434,,20.0,13.0,20.0,920.0
74,-5.113462313512822,,30.0,13.0,30.0,1510.0
75,-5.260117052794691,92.0,,,,
76,-5.562468370689926,,20.0,14.0,20.0,1360.0
77,-6.000000000000001,,818.3743969390905,-6.0,0.0,1620.0
78,-5.295394759811077,38.0,,,,
79,-5.511341101987718,60.0,,,,
80,-6.136180481194194,,0.0,-2.0,0.0,1390.0
81,-6.593207336649118,58.0,,,,
82,-5.893421748564268,68.0,,,,
83,-5.906815792110371,70.0,,,,
84,-5.925289941113546,96.0,,,,
85,-5.935977132482569,,0.0,5.0,0.0,1540.0
86,-5.935977132482569,110.0,,,,
87,-5.935977132482569,,0.0,-3.0,0.0,1480.0
88,-5.952510136431081,40.0,,,,
89,-5.964981658340565,,0.0,5.0,0.0,1360.0
90,-5.976527657693088,,0.0,0.0,0.0,1300.0
91,-5.985419329813902,,0.0,6.0,0.0,1440.0
92,-6.000000000000001,,774.3590289509232,-6.0,0.0,1130.0
93,-6.005700186773036,98.0,,,,
94,-6.0105191881470725,88.0,,,,
95,-6.001795519248211,83.0,,,,
96,-5.994142998712763,28.0,,,,
97,-6.062668237655485,94.0,,,,
98,-6.098612101871881,83.0,,,,
99,-6.064620571417898,,0.0,5.0,0.0,1480.0
100,-6.035459231045699,,0.0,-6.0,0.0,1160.0
101,-6.021035375373803,71.0,,,,
102,-6.007495706021246,66.0,,,,
103,-6.035459231045699,,0.0,-1.0,0.0,1070.0
104,-6.035459231045699,,30.0,11.0,30.0,1170.0
105,-6.035459231045699,,0.0,6.0,0.0,1210.0
106,-6.035459231045699,100.0,,,,
107,-6.035459231045699,,20.0,12.0,20.0,920.0
108,-6.035459231045699,69.0,,,,
109,-6.035459231045699,89.0,,,,
110,-6.035459231045699,,20.0,11.0,20.0,1450.0
111,-6.035459231045699,,10.0,14.0,10.0,880.0
112,-6.035459231045699,,30.0,12.0,30.0,750.0
113,-1.498389046916992,,20.0,14.0,20.0,1020.0
114,0.5027925105782991,92.0,,,,
