branch,flow_mw,limit_mva,abs_flow_mw,pct_of_limit
1  TO  2 CKT 1,-162.97255650118183,175.0,162.97255650118183,93.12717514353247
1  TO  5 CKT 1,120.60800921985806,175.0,120.60800921985806,68.91886241134746
2  TO  4 CKT 1,98.4328184397167,175.0,98.4328184397167,56.24732482269526
2  TO  6 CKT 1,88.58732505910159,175.0,88.58732505910159,50.62132860520091
17  TO  18 CKT 1,-88.11782056737621,500.0,88.11782056737621,17.623564113475243
5  TO  10 CKT 1,86.60800921985806,175.0,86.60800921985806,49.49029098277604
16  TO  19 CKT 1,78.30704728132412,500.0,78.30704728132412,15.661409456264824
3  TO  1 CKT 1,-72.36844728132374,175.0,72.36844728132374,41.35339844647071
4  TO  9 CKT 1,59.67158912529498,175.0,59.67158912529498,34.09805092873999
15  TO  24 CKT 1,45.89963002364099,500.0,45.89963002364099,9.179926004728197
11  TO  14 CKT 1,-41.56155200945654,500.0,41.56155200945654,8.31231040189131
16  TO  17 CKT 1,-36.00670472813275,500.0,36.00670472813275,7.2013409456265505
10  TO  6 CKT 1,-32.58732505910158,175.0,32.58732505910158,18.621328605200905
3  TO  9 CKT 1,29.274253427896163,175.0,29.274253427896163,16.728144815940666
21  TO  15 CKT 2,-26.49046430260066,500.0,26.49046430260066,5.298092860520132
15  TO  21 CKT 1,26.49046430260066,500.0,26.49046430260066,5.298092860520132
12  TO  10 CKT 1,-25.765953427895905,400.0,25.765953427895905,6.441488356973976
18  TO  21 CKT 2,-24.065060283688098,500.0,24.065060283688098,4.81301205673762
18  TO  21 CKT 1,-24.065060283688098,500.0,24.065060283688098,4.81301205673762
16  TO  15 CKT 1,-23.860494562647915,500.0,23.860494562647915,4.772098912529583
11  TO  10 CKT 1,-22.74276524822684,400.0,22.74276524822684,5.68569131205671
8  TO  10 CKT 1,-20.64993947990546,175.0,20.64993947990546,11.799965417088835
8  TO  9 CKT 1,-15.350060520094543,175.0,15.350060520094543,8.771463154339738
9  TO  12 CKT 1,15.333385106382831,400.0,15.333385106382831,3.833346276595708
17  TO  22 CKT 1,-14.833384160756552,500.0,14.833384160756552,2.9666768321513106
19  TO  20 CKT 1,13.162985579196334,500.0,13.162985579196334,2.6325971158392667
19  TO  20 CKT 2,13.162985579196334,500.0,13.162985579196334,2.6325971158392667
20  TO  23 CKT 1,-12.837014420803666,500.0,12.837014420803666,2.5674028841607335
20  TO  23 CKT 2,-12.837014420803666,500.0,12.837014420803666,2.5674028841607335
11  TO  9 CKT 1,-12.300596926713766,400.0,12.300596926713766,3.0751492316784415
14  TO  16 CKT 1,-11.561552009456546,500.0,11.561552009456546,2.312310401891309
12  TO  13 CKT 1,-7.82234089834524,500.0,7.82234089834524,1.5644681796690478
24  TO  3 CKT 1,-7.100369976359005,400.0,7.100369976359005,1.775092494089751
21  TO  22 CKT 1,4.8333841607565535,500.0,4.8333841607565535,0.9666768321513107
12  TO  23 CKT 1,-4.057996690307469,500.0,4.057996690307469,0.8115993380614939
11  TO  13 CKT 1,-2.4278858156028527,500.0,2.4278858156028527,0.4855771631205705
23  TO  13 CKT 1,0.23955059101665022,500.0,0.23955059101665022,0.04791011820333004
7  TO  8 CKT 1,0.0,175.0,0.0,0.0
