bus,price,amount,cleared
3,24,4.0,4.0
3,23,5.0,5.0
3,22,1.0,1.0
3,21,5.0,5.0
3,20,4.0,4.0
3,19,1.0,1.0
3,17,5.0,5.0
3,16,4.0,4.0
3,13,1.0,1.0
3,9,6.0,6.0
3,6,2.0,0.0
3,3,3.0,0.0
4,24,7.0,7.0
4,19,10.0,10.0
4,18,9.0,9.0
4,18,1.0,1.0
4,17,6.0,6.0
4,15,3.0,3.0
4,14,6.0,2.761229314421712
4,11,2.0,0.0
4,11,1.0,0.0
4,7,1.0,0.0
4,2,1.0,0.0
5,23,4.0,4.0
5,20,3.0,3.0
5,19,6.0,6.0
5,19,3.0,3.0
5,18,1.0,1.0
5,17,3.0,3.0
5,15,2.0,2.0
5,13,5.0,5.0
5,12,3.0,3.0
5,10,2.0,2.0
5,9,2.0,2.0
5,5,8.0,0.0
5,2,5.0,0.0
5,2,4.0,0.0
6,21,3.0,3.0
6,13,10.0,10.0
6,13,5.0,5.0
6,13,4.0,4.0
6,12,5.0,5.0
6,12,1.0,1.0
6,8,6.0,6.0
6,8,5.0,5.0
6,7,7.0,7.0
6,5,2.0,2.0
6,4,8.0,8.0
8,18,8.0,8.0
8,17,6.0,6.0
8,17,4.0,4.0
8,10,12.0,12.0
8,10,3.0,3.0
8,8,2.0,2.0
8,7,1.0,1.0
8,5,7.0,0.0
8,5,5.0,0.0
8,3,1.0,0.0
8,2,1.0,0.0
9,24,5.0,5.0
9,24,2.0,2.0
9,23,3.0,3.0
9,22,3.0,3.0
9,22,2.0,2.0
9,19,9.0,9.0
9,17,3.0,3.0
9,17,2.0,2.0
9,16,5.0,5.0
9,14,1.0,1.0
9,13,4.0,4.0
9,12,7.0,7.0
9,8,6.0,0.0
9,8,5.0,0.0
9,8,1.0,0.0
9,7,1.0,0.0
9,5,9.0,0.0
9,5,2.0,0.0
9,4,6.0,0.0
9,4,1.0,0.0
10,24,9.0,9.0
10,24,2.0,2.0
10,17,1.0,1.0
10,15,4.0,4.0
10,15,3.0,3.0
10,14,2.0,2.0
10,9,14.0,14.0
10,9,12.0,12.0
10,7,3.0,3.0
10,4,2.0,0.0
10,2,6.0,0.0
11,24,4.0,4.0
11,24,2.0,2.0
11,22,5.0,5.0
11,21,4.0,4.0
11,21,2.0,2.0
11,21,2.0,2.0
11,20,1.0,1.0
11,18,14.0,14.0
11,18,7.0,7.0
11,17,13.0,13.0
11,14,4.0,4.0
11,11,8.0,8.0
11,10,3.0,3.0
11,7,6.0,6.0
11,7,4.0,4.0
11,6,3.0,0.0
11,5,2.0,0.0
11,2,3.0,0.0
12,22,6.0,6.0
12,22,1.0,1.0
12,20,11.0,11.0
12,18,7.0,7.0
12,17,4.0,4.0
12,16,11.0,11.0
12,12,11.0,11.0
12,10,2.0,2.0
12,6,4.0,0.0
12,2,13.0,0.0
17,24,7.0,7.0
17,23,4.0,4.0
17,22,5.0,5.0
17,21,5.0,5.0
17,17,6.0,6.0
17,16,6.0,6.0
17,16,3.0,3.0
17,14,3.0,3.0
17,12,5.0,5.0
17,11,3.0,3.0
17,11,1.0,1.0
17,9,3.0,3.0
17,8,10.0,10.0
17,7,3.0,3.0
17,7,3.0,3.0
17,6,3.0,0.0
17,6,1.0,0.0
19,24,5.0,5.0
19,23,4.0,4.0
19,21,1.0,1.0
19,18,14.0,14.0
19,13,12.0,12.0
19,13,1.0,1.0
19,10,6.0,6.0
19,9,9.0,9.0
19,6,1.0,0.0
19,2,2.0,0.0
20,22,3.0,3.0
20,21,1.0,1.0
20,21,1.0,1.0
20,20,9.0,9.0
20,20,1.0,1.0
20,18,2.0,2.0
20,17,4.0,4.0
20,15,5.0,5.0
20,14,6.0,6.0
20,12,7.0,7.0
20,12,6.0,6.0
20,11,1.0,1.0
20,10,3.0,3.0
20,7,3.0,3.0
20,4,4.0,0.0
20,4,1.0,0.0
20,2,1.0,0.0
24,23,9.0,9.0
24,21,3.0,3.0
24,18,5.0,5.0
24,18,4.0,4.0
24,18,3.0,3.0
24,17,2.0,2.0
24,14,4.0,4.0
24,12,6.0,6.0
24,11,2.0,2.0
24,9,4.0,4.0
24,8,5.0,5.0
24,8,5.0,5.0
24,8,1.0,1.0
24,6,1.0,0.0
24,4,9.0,0.0
24,4,5.0,0.0
24,4,2.0,0.0
24,3,5.0,0.0
24,2,3.0,0.0
