Branch
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Lim MVA A,Lim MVA B,Lim MVA C
1,1,2,2,1,Closed,Line,NO,0.00070,0.00123,0.00065,175.0,0.0,0.0
1,1,5,5,1,Closed,Line,NO,0.02243,0.08490,0.02440,175.0,0.0,0.0
2,2,4,4,1,Closed,Line,NO,0.03361,0.12730,0.03660,175.0,0.0,0.0
2,2,6,6,1,Closed,Line,NO,0.05064,0.19201,0.05570,175.0,0.0,0.0
3,3,1,1,1,Closed,Line,NO,0.05419,0.21114,0.06130,175.0,0.0,0.0
3,3,9,9,1,Closed,Line,NO,0.03148,0.11921,0.03430,175.0,0.0,0.0
4,4,9,9,1,Closed,Line,NO,0.02692,0.10779,0.02790,175.0,0.0,0.0
5,5,10,10,1,Closed,Transformer,YES,0.02334,0.08837,0.02540,175.0,0.0,0.0
7,7,8,8,1,Closed,Line,NO,0.01614,0.06103,0.01790,175.0,0.0,0.0
8,8,9,9,1,Closed,Line,NO,0.04234,0.16482,0.04780,175.0,0.0,0.0
8,8,10,10,1,Closed,Line,NO,0.04234,0.16482,0.04780,175.0,0.0,0.0
9,9,12,12,1,Closed,Transformer,YES,0.00230,0.08390,0.00000,400.0,0.0,0.0
10,10,6,6,1,Closed,Line,NO,0.02262,0.03333,0.13029,175.0,0.0,0.0
11,11,9,9,1,Closed,Transformer,YES,0.00230,0.08390,0.00000,400.0,0.0,0.0
11,11,10,10,1,Closed,Transformer,YES,0.00230,0.08390,0.00000,400.0,0.0,0.0
11,11,13,13,1,Closed,Line,NO,0.00583,0.04746,0.09590,500.0,0.0,0.0
11,11,14,14,1,Closed,Line,NO,0.00513,0.04172,0.08430,500.0,0.0,0.0
12,12,10,10,1,Closed,Transformer,YES,0.00230,0.08390,0.00000,400.0,0.0,0.0
12,12,13,13,1,Closed,Line,NO,0.00583,0.04760,0.09590,500.0,0.0,0.0
12,12,23,23,1,Closed,Line,NO,0.01224,0.09644,0.19840,500.0,0.0,0.0
14,14,16,16,1,Closed,Line,NO,0.00477,0.03884,0.07850,500.0,0.0,0.0
15,15,21,21,1,Closed,Line,NO,0.00607,0.04899,0.10060,500.0,0.0,0.0
15,15,24,24,1,Closed,Line,NO,0.00642,0.05187,0.10660,500.0,0.0,0.0
16,16,15,15,1,Closed,Line,NO,0.00212,0.17269,0.03490,500.0,0.0,0.0
16,16,17,17,1,Closed,Line,NO,0.00318,0.02590,0.05230,500.0,0.0,0.0
16,16,19,19,1,Closed,Line,NO,0.00283,0.02302,0.04650,500.0,0.0,0.0
17,17,18,18,1,Closed,Line,NO,0.00177,0.01439,0.02910,500.0,0.0,0.0
17,17,22,22,1,Closed,Line,NO,0.01225,0.10527,0.21160,500.0,0.0,0.0
18,18,21,21,1,Closed,Line,NO,0.00331,0.02595,0.05330,500.0,0.0,0.0
18,18,21,21,2,Closed,Line,NO,0.00331,0.02595,0.05330,500.0,0.0,0.0
19,19,20,20,1,Closed,Line,NO,0.00505,0.03964,0.08140,500.0,0.0,0.0
19,19,20,20,2,Closed,Line,NO,0.00505,0.03964,0.08140,500.0,0.0,0.0
20,20,23,23,1,Closed,Line,NO,0.00276,0.02163,0.04440,500.0,0.0,0.0
20,20,23,23,2,Closed,Line,NO,0.00276,0.02163,0.04440,500.0,0.0,0.0
21,21,15,15,2,Closed,Line,NO,0.00607,0.04899,0.10060,500.0,0.0,0.0
21,21,22,22,1,Closed,Line,NO,0.00829,0.06769,0.13670,500.0,0.0,0.0
23,23,13,13,1,Closed,Line,NO,0.01060,0.08643,0.17520,500.0,0.0,0.0
24,24,3,3,1,Closed,Transformer,YES,0.00230,0.08390,0.00000,400.0,0.0,0.0
