Gen ID,Bus Number,Cost,Pmin,Pmax
G_0_0,1,58.0,0.0,45.0
G_1_0,2,52.0,0.0,70.0
G_2_0,3,54.0,0.0,65.0
G_3_0,4,56.0,0.0,55.0
G_4_0,5,55.0,0.0,55.0
G_5_0,6,53.0,0.0,60.0
G_6_0,7,49.0,0.0,80.0
G_7_0,8,47.0,0.0,70.0
G_8_0,9,33.0,10.0,90.0
G_8_1,9,41.0,0.0,120.0
G_9_0,10,46.0,0.0,85.0
G_12_0,13,38.0,10.0,140.0
G_13_0,14,45.0,0.0,80.0
G_14_0,15,34.0,15.0,90.0
G_14_1,15,42.0,0.0,110.0
G_15_0,16,40.0,5.0,95.0
G_17_0,18,35.0,10.0,85.0
G_17_1,18,43.0,0.0,110.0
G_18_0,19,44.0,0.0,75.0
G_19_0,20,48.0,0.0,60.0
G_20_0,21,11.0,20.0,220.0
G_20_1,21,14.0,0.0,180.0
G_21_0,22,12.0,20.0,180.0
G_21_1,22,15.0,0.0,140.0
G_22_0,23,13.0,20.0,170.0
G_22_1,23,16.0,0.0,130.0
G_23_0,24,65.0,0.0,70.0
