Gen
Number of Bus,Name of Bus,ID,Status,Gen MW,Gen Mvar,Min MW,Max MW,AGC,AVR,RegBus Num,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model
1,1,1,Closed,35.85,180.36,0.00,1000.00,YES,YES,1,1.00000,-9900.00,9900.00,YES,1000.00,None
2,2,1,Closed,67.00,0.00,0.00,1000.00,YES,YES,2,1.00000,0.00,0.00,YES,1000.00,None
7,7,1,Closed,64.00,0.00,0.00,1000.00,YES,YES,7,1.00000,0.00,0.00,YES,1000.00,None
13,13,1,Closed,200.00,0.00,0.00,1000.00,YES,YES,13,1.00000,0.00,0.00,YES,1000.00,None
14,14,1,Closed,0.00,0.00,0.00,1000.00,YES,YES,14,1.00000,0.00,0.00,YES,1000.00,None
15,15,1,Closed,274.00,0.00,0.00,1000.00,YES,YES,15,1.00000,0.00,0.00,YES,1000.00,None
16,16,1,Closed,245.00,0.00,0.00,1000.00,YES,YES,16,1.00000,0.00,0.00,YES,1000.00,None
18,18,1,Closed,144.00,0.00,0.00,1000.00,YES,YES,18,1.00000,0.00,0.00,YES,1000.00,None
21,21,1,Closed,294.00,0.00,0.00,1000.00,YES,YES,21,1.00000,0.00,0.00,YES,1000.00,None
22,22,1,Closed,150.00,199.00,0.00,1000.00,YES,YES,22,1.00000,-9900.00,9900.00,YES,1000.00,None
23,23,1,Closed,200.00,0.00,0.00,1000.00,YES,YES,23,1.00000,0.00,0.00,YES,1000.00,None
