Branch
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Lim MVA A,Lim MVA B,Lim MVA C
1,Glen Lyn,2,Claytor,1,Closed,Line,NO,0.01920,0.05750,0.05280,130.0,0.0,0.0
1,Glen Lyn,3,Kumis,1,Closed,Line,NO,0.04520,0.16520,0.04080,130.0,0.0,0.0
2,Claytor,4,Hancock,1,Closed,Line,NO,0.05700,0.17370,0.03680,65.0,0.0,0.0
2,Claytor,5,Fieldale,1,Closed,Line,NO,0.04720,0.19830,0.04180,130.0,0.0,0.0
2,Claytor,6,Roanoke,1,Closed,Line,NO,0.05810,0.17630,0.03740,65.0,0.0,0.0
3,Kumis,4,Hancock,1,Closed,Line,NO,0.01320,0.03790,0.00840,130.0,0.0,0.0
4,Hancock,6,Roanoke,1,Closed,Line,NO,0.01190,0.04140,0.00900,90.0,0.0,0.0
4,Hancock,12,Hancock,1,Closed,Transformer,YES,0.00000,0.25600,0.00000,65.0,0.0,0.0
5,Fieldale,7,Blaine,1,Closed,Line,NO,0.04600,0.11600,0.02040,70.0,0.0,0.0
6,Roanoke,7,Blaine,1,Closed,Line,NO,0.02670,0.08200,0.01700,130.0,0.0,0.0
6,Roanoke,8,Reusens,1,Closed,Line,NO,0.01200,0.04200,0.00900,32.0,0.0,0.0
6,Roanoke,9,Roanoke,1,Closed,Transformer,YES,0.00000,0.20800,0.00000,65.0,0.0,0.0
6,Roanoke,10,Roanoke,1,Closed,Transformer,YES,0.00000,0.55600,0.00000,32.0,0.0,0.0
6,Roanoke,28,Cloverdl,1,Closed,Line,NO,0.01690,0.05990,0.01300,0.0,0.0,0.0
8,Reusens,28,Cloverdl,1,Closed,Line,NO,0.06360,0.20000,0.04280,0.0,0.0,0.0
9,Roanoke,10,Roanoke,1,Closed,Line,NO,0.00000,0.11000,0.00000,0.0,0.0,0.0
9,Roanoke,11,Roanoke,1,Closed,Line,NO,0.00000,0.20800,0.00000,65.0,0.0,0.0
10,Roanoke,17,Bus 17,1,Closed,Line,NO,0.03240,0.08450,0.00000,0.0,0.0,0.0
10,Roanoke,20,Bus 20,1,Closed,Line,NO,0.09360,0.20900,0.00000,32.0,0.0,0.0
10,Roanoke,21,Bus 21,1,Closed,Line,NO,0.03480,0.07490,0.00000,0.0,0.0,0.0
10,Roanoke,22,Bus 22,1,Closed,Line,NO,0.07270,0.14990,0.00000,0.0,0.0,0.0
12,Hancock,13,Hancock,1,Closed,Line,NO,0.00000,0.14000,0.00000,65.0,0.0,0.0
12,Hancock,14,Bus 14,1,Closed,Line,NO,0.12310,0.25590,0.00000,0.0,0.0,0.0
12,Hancock,15,Bus 15,1,Closed,Line,NO,0.06620,0.13040,0.00000,32.0,0.0,0.0
12,Hancock,16,Bus 16,1,Closed,Line,NO,0.09450,0.19870,0.00000,16.0,0.0,0.0
14,Bus 14,15,Bus 15,1,Closed,Line,NO,0.22100,0.19970,0.00000,16.0,0.0,0.0
15,Bus 15,18,Bus 18,1,Closed,Line,NO,0.10730,0.21850,0.00000,16.0,0.0,0.0
15,Bus 15,23,Bus 23,1,Closed,Line,NO,0.10000,0.20200,0.00000,0.0,0.0,0.0
16,Bus 16,17,Bus 17,1,Closed,Line,NO,0.05240,0.19230,0.00000,16.0,0.0,0.0
18,Bus 18,19,Bus 19,1,Closed,Line,NO,0.06390,0.12920,0.00000,16.0,0.0,0.0
19,Bus 19,20,Bus 20,1,Closed,Line,NO,0.03400,0.06800,0.00000,16.0,0.0,0.0
21,Bus 21,22,Bus 22,1,Closed,Line,NO,0.01160,0.02360,0.00000,0.0,0.0,0.0
22,Bus 22,24,Bus 24,1,Closed,Line,NO,0.11500,0.17900,0.00000,0.0,0.0,0.0
23,Bus 23,24,Bus 24,1,Closed,Line,NO,0.13200,0.27000,0.00000,0.0,0.0,0.0
24,Bus 24,25,Bus 25,1,Closed,Line,NO,0.18850,0.32920,0.00000,0.0,0.0,0.0
25,Bus 25,26,Bus 26,1,Closed,Line,NO,0.25440,0.38000,0.00000,0.0,0.0,0.0
25,Bus 25,27,Cloverdl,1,Closed,Line,NO,0.10930,0.20870,0.00000,0.0,0.0,0.0
27,Cloverdl,29,Bus 29,1,Closed,Line,NO,0.21980,0.41530,0.00000,0.0,0.0,0.0
27,Cloverdl,30,Bus 30,1,Closed,Line,NO,0.32020,0.60270,0.00000,0.0,0.0,0.0
28,Cloverdl,27,Cloverdl,1,Closed,Transformer,YES,0.00000,0.39600,0.00000,0.0,0.0,0.0
29,Bus 29,30,Bus 30,1,Closed,Line,NO,0.23990,0.45330,0.00000,0.0,0.0,0.0
