Bus
Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Dist MW,Dist Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
1,Glen Lyn,1,132.00,1.06000,139.920,98.43,260.95,-16.79,,,,,,0.00,0.00,1,1
2,Claytor,1,132.00,1.04313,137.693,93.08,40.00,50.00,21.70,12.70,0.00,0.00,,0.00,0.00,1,1
3,Kumis,1,132.00,1.02074,134.738,90.90,,,2.40,1.20,0.00,0.00,,0.00,0.00,1,1
4,Hancock,1,132.00,1.01176,133.552,89.15,,,7.60,1.60,0.00,0.00,,0.00,0.00,1,1
5,Fieldale,1,132.00,1.01000,133.320,84.27,0.00,36.85,94.20,19.00,0.00,0.00,,0.00,0.00,1,1
6,Roanoke,1,132.00,1.01026,133.354,87.37,,,,,,,,0.00,0.00,1,1
7,Blaine,1,132.00,1.00238,132.314,85.57,,,22.80,10.90,0.00,0.00,,0.00,0.00,1,1
8,Reusens,1,132.00,1.01000,133.320,86.62,0.00,37.14,30.00,30.00,0.00,0.00,,0.00,0.00,1,1
9,Roanoke,1,1.000,1.05091,1.051,84.32,,,,,,,,0.00,0.00,1,1
10,Roanoke,1,33.00,1.04513,34.489,82.73,,,5.80,2.00,0.00,0.00,20.75,0.00,0.00,1,1
11,Roanoke,1,11.00,1.08200,11.902,84.32,0.00,16.17,,,,,,0.00,0.00,1,1
12,Hancock,1,33.00,1.05712,34.885,83.49,,,11.20,7.50,0.00,0.00,,0.00,0.00,1,1
13,Hancock,1,11.00,1.07100,11.781,83.49,0.00,10.62,,,,,,0.00,0.00,1,1
14,Bus 14,1,33.00,1.04228,34.395,82.60,,,6.20,1.60,0.00,0.00,,0.00,0.00,1,1
15,Bus 15,1,33.00,1.03768,34.243,82.50,,,8.20,2.50,0.00,0.00,,0.00,0.00,1,1
16,Bus 16,1,33.00,1.04439,34.465,82.91,,,3.50,1.80,0.00,0.00,,0.00,0.00,1,1
17,Bus 17,1,33.00,1.03990,34.317,82.57,,,9.00,5.80,0.00,0.00,,0.00,0.00,1,1
18,Bus 18,1,33.00,1.02815,33.929,81.89,,,3.20,0.90,0.00,0.00,,0.00,0.00,1,1
19,Bus 19,1,33.00,1.02565,33.846,81.72,,,9.50,3.40,0.00,0.00,,0.00,0.00,1,1
20,Bus 20,1,33.00,1.02974,33.981,81.91,,,2.20,0.70,0.00,0.00,,0.00,0.00,1,1
21,Bus 21,1,33.00,1.03273,34.080,82.29,,,17.50,11.20,0.00,0.00,,0.00,0.00,1,1
22,Bus 22,1,33.00,1.03326,34.098,82.30,,,,,,,,0.00,0.00,1,1
23,Bus 23,1,33.00,1.02718,33.897,82.11,,,3.20,1.60,0.00,0.00,,0.00,0.00,1,1
24,Bus 24,1,33.00,1.02158,33.712,81.94,,,8.70,6.70,0.00,0.00,4.49,0.00,0.00,1,1
25,Bus 25,1,33.00,1.01734,33.572,82.36,,,,,,,,0.00,0.00,1,1
26,Bus 26,1,33.00,0.99966,32.989,81.95,,,3.50,2.30,0.00,0.00,,0.00,0.00,1,1
27,Cloverdl,1,33.00,1.02325,33.767,82.89,,,,,,,,0.00,0.00,1,1
28,Cloverdl,1,132.00,1.00682,132.900,86.74,,,,,,,,0.00,0.00,1,1
29,Bus 29,1,33.00,1.00341,33.113,81.66,,,2.40,0.90,0.00,0.00,,0.00,0.00,1,1
30,Bus 30,1,33.00,0.99194,32.734,80.78,,,10.60,1.90,0.00,0.00,,0.00,0.00,1,1
