Bus
Number,Name,Area Name,ETLR,WTLR,1  TO  2 CKT 1,1  TO  3 CKT 1,2  TO  4 CKT 1,2  TO  5 CKT 1,2  TO  6 CKT 1,3  TO  4 CKT 1,4  TO  6 CKT 1,4  TO  12 CKT 1,5  TO  7 CKT 1,6  TO  7 CKT 1,6  TO  8 CKT 1,6  TO  9 CKT 1,6  TO  10 CKT 1,6  TO  28 CKT 1,8  TO  28 CKT 1,9  TO  10 CKT 1,9  TO  11 CKT 1,10  TO  17 CKT 1,10  TO  20 CKT 1,10  TO  21 CKT 1,10  TO  22 CKT 1,12  TO  13 CKT 1,12  TO  14 CKT 1,12  TO  15 CKT 1,12  TO  16 CKT 1,14  TO  15 CKT 1,15  TO  18 CKT 1,15  TO  23 CKT 1,16  TO  17 CKT 1,18  TO  19 CKT 1,19  TO  20 CKT 1,21  TO  22 CKT 1,22  TO  24 CKT 1,23  TO  24 CKT 1,24  TO  25 CKT 1,25  TO  26 CKT 1,25  TO  27 CKT 1,28  TO  27 CKT 1,27  TO  29 CKT 1,27  TO  30 CKT 1,29  TO  30 CKT 1
1,Glen Lyn,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,Claytor,1,-1.1376,-6.8528,-0.8329,-0.1671,0.0803,0.0267,0.0600,-0.1671,-0.0814,-0.0053,0.0267,-0.0267,0.0002,0.0027,0.0016,0.0008,0.0002,0.0027,0.0000,0.0024,0.0014,0.0003,0.0002,0.0000,-0.0006,-0.0023,-0.0024,-0.0006,-0.0014,-0.0015,-0.0024,-0.0014,-0.0014,0.0003,0.0005,-0.0015,-0.0010,0.0000,-0.0010,0.0010,0.0000,0.0000,0.0000
3,Kumis,1,-0.6047,-3.7754,-0.4801,-0.5199,-0.2308,-0.0767,-0.1725,0.4801,0.2340,0.0152,-0.0767,0.0767,-0.0006,-0.0078,-0.0045,-0.0023,-0.0006,-0.0078,0.0000,-0.0069,-0.0039,-0.0009,-0.0006,0.0000,0.0019,0.0065,0.0069,0.0019,0.0039,0.0044,0.0069,0.0039,0.0039,-0.0009,-0.0015,0.0044,0.0029,0.0000,0.0029,-0.0029,0.0000,0.0000,0.0000
4,Hancock,1,-1.5140,-7.1156,-0.5902,-0.4098,-0.2838,-0.0943,-0.2121,-0.4098,0.2877,0.0187,-0.0943,0.0943,-0.0007,-0.0096,-0.0055,-0.0029,-0.0007,-0.0096,0.0000,-0.0085,-0.0048,-0.0011,-0.0007,0.0000,0.0023,0.0080,0.0085,0.0023,0.0048,0.0054,0.0085,0.0048,0.0048,-0.0011,-0.0019,0.0054,0.0036,0.0000,0.0036,-0.0036,0.0000,0.0000,0.0000
5,Fieldale,1,-3.1955,-11.0506,-0.7408,-0.2592,-0.0578,-0.5561,-0.1269,-0.2592,-0.2977,-0.0194,0.4439,-0.4439,0.0007,0.0100,0.0057,0.0030,0.0007,0.0100,0.0000,0.0088,0.0050,0.0012,0.0008,0.0000,-0.0024,-0.0082,-0.0088,-0.0024,-0.0050,-0.0056,-0.0088,-0.0050,-0.0050,0.0012,0.0019,-0.0056,-0.0037,0.0000,-0.0037,0.0037,0.0000,0.0000,0.0000
6,Roanoke,1,-2.2518,-9.6470,-0.6488,-0.3512,-0.1958,-0.1395,-0.3135,-0.3512,-0.5135,-0.0335,-0.1395,0.1395,0.0013,0.0172,0.0099,0.0051,0.0013,0.0172,0.0000,0.0152,0.0086,0.0020,0.0013,0.0000,-0.0041,-0.0142,-0.0152,-0.0041,-0.0086,-0.0097,-0.0152,-0.0086,-0.0086,0.0020,0.0033,-0.0097,-0.0064,0.0000,-0.0064,0.0064,0.0000,0.0000,0.0000
7,Blaine,1,-2.8143,-10.7902,-0.6869,-0.3131,-0.1387,-0.3120,-0.2362,-0.3131,-0.4241,-0.0276,-0.3120,-0.6880,0.0010,0.0142,0.0081,0.0042,0.0010,0.0142,0.0000,0.0125,0.0071,0.0016,0.0011,0.0000,-0.0034,-0.0117,-0.0125,-0.0034,-0.0071,-0.0080,-0.0125,-0.0071,-0.0071,0.0016,0.0027,-0.0080,-0.0053,0.0000,-0.0053,0.0053,0.0000,0.0000,0.0000
8,Reusens,1,-3.3867,-10.8219,-0.6487,-0.3513,-0.1960,-0.1394,-0.3133,-0.3513,-0.5115,-0.0358,-0.1394,0.1394,-0.8583,0.0146,0.0083,-0.1288,0.1417,0.0146,0.0000,0.0155,0.0085,-0.0007,-0.0004,0.0000,-0.0045,-0.0158,-0.0155,-0.0045,-0.0085,-0.0118,-0.0155,-0.0085,-0.0085,-0.0007,-0.0011,-0.0118,-0.0129,0.0000,-0.0129,0.0129,0.0000,0.0000,0.0000
9,Roanoke,1,-3.0340,-10.0215,-0.6389,-0.3611,-0.2106,-0.1319,-0.2964,-0.3611,-0.3785,-0.1932,-0.1319,0.1319,-0.0119,-0.6010,-0.1459,-0.0481,-0.0119,0.3990,0.0000,0.0995,0.0606,0.0562,0.0369,0.0000,-0.0208,-0.0728,-0.0995,-0.0208,-0.0606,-0.0331,-0.0995,-0.0606,-0.0606,0.0562,0.0931,-0.0331,0.0600,0.0000,0.0600,-0.0600,0.0000,0.0000,0.0000
10,Roanoke,1,-3.9189,-10.7289,-0.6337,-0.3663,-0.2185,-0.1278,-0.2874,-0.3663,-0.3071,-0.2776,-0.1278,0.1278,-0.0189,-0.3990,-0.2282,-0.0762,-0.0189,-0.3990,0.0000,0.1441,0.0880,0.0848,0.0557,0.0000,-0.0297,-0.1038,-0.1441,-0.0297,-0.0880,-0.0455,-0.1441,-0.0880,-0.0880,0.0848,0.1406,-0.0455,0.0951,0.0000,0.0951,-0.0951,0.0000,0.0000,0.0000
