Gen
Number of Bus,Name of Bus,ID,Status,Gen MW,Gen Mvar,Min MW,Max MW,AGC,AVR,RegBus Num,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model
30,30,1,Closed,250.00,83.21,0.00,9999.90,YES,YES,30,1.04750,-500.00,800.00,YES,9999.90,None
31,31,1,Closed,571.28,363.94,0.00,9999.90,YES,YES,31,0.98200,-500.00,800.00,YES,9999.90,None
32,32,1,Closed,650.00,1.53,0.00,9999.90,YES,YES,32,0.98310,-500.00,800.00,YES,9999.90,None
33,33,1,Closed,632.00,69.67,0.00,9999.90,YES,YES,33,0.99720,-500.00,800.00,YES,9999.90,None
34,34,1,Closed,508.00,148.79,0.00,9999.90,YES,YES,34,1.01230,-300.00,800.00,YES,9999.90,None
35,35,1,Closed,650.00,167.04,0.00,9999.90,YES,YES,35,1.04930,-500.00,800.00,YES,9999.90,None
36,36,1,Closed,560.00,75.45,0.00,9999.90,YES,YES,36,1.06350,-500.00,800.00,YES,9999.90,None
37,37,1,Closed,540.00,-35.35,0.00,9999.90,YES,YES,37,1.02780,-500.00,800.00,YES,9999.90,None
38,38,1,Closed,830.00,-0.47,0.00,9999.90,YES,YES,38,1.02650,-500.00,800.00,YES,9999.90,None
39,39,1,Closed,1000.00,-36.49,0.00,9999.90,YES,YES,39,1.03000,-1000.00,1500.00,YES,9999.90,None
