Bus
Number,Name,Area Name,ETLR,WTLR,1  TO  2 CKT 1,1  TO  39 CKT 1,2  TO  3 CKT 1,2  TO  25 CKT 1,2  TO  30 CKT 1,3  TO  4 CKT 1,3  TO  18 CKT 1,4  TO  5 CKT 1,4  TO  14 CKT 1,5  TO  6 CKT 1,5  TO  8 CKT 1,6  TO  7 CKT 1,6  TO  11 CKT 1,31  TO  6 CKT 1,7  TO  8 CKT 1,8  TO  9 CKT 1,9  TO  39 CKT 1,10  TO  11 CKT 1,10  TO  13 CKT 1,10  TO  32 CKT 1,12  TO  11 CKT 1,12  TO  13 CKT 1,13  TO  14 CKT 1,14  TO  15 CKT 1,15  TO  16 CKT 1,16  TO  17 CKT 1,16  TO  19 CKT 1,16  TO  21 CKT 1,16  TO  24 CKT 1,17  TO  18 CKT 1,17  TO  27 CKT 1,19  TO  20 CKT 1,19  TO  33 CKT 1,20  TO  34 CKT 1,21  TO  22 CKT 1,22  TO  23 CKT 1,22  TO  35 CKT 1,23  TO  24 CKT 1,23  TO  36 CKT 1,25  TO  26 CKT 1,25  TO  37 CKT 1,26  TO  27 CKT 1,26  TO  28 CKT 1,26  TO  29 CKT 1,28  TO  29 CKT 1,29  TO  38 CKT 1
1,1,1,-1.2993,-3.0436,0.5462,0.4538,0.4368,0.1094,0.0000,0.3724,0.0644,0.3412,0.0312,0.5359,-0.1948,-0.2590,-0.2050,-1.0000,-0.2590,-0.4538,-0.4538,0.1866,-0.1866,0.0000,0.0184,-0.0184,-0.2050,-0.1738,-0.1738,-0.1738,0.0000,0.0000,0.0000,-0.0644,-0.1094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1094,0.0000,0.1094,0.0000,0.0000,0.0000,0.0000
2,2,1,-0.8844,-2.4977,-0.2106,0.2106,0.6315,0.1579,0.0000,0.5397,0.0917,0.5041,0.0357,0.5619,-0.0578,-0.1528,-0.2853,-1.0000,-0.1528,-0.2106,-0.2106,0.2596,-0.2596,0.0000,0.0257,-0.0257,-0.2853,-0.2496,-0.2496,-0.2496,0.0000,0.0000,0.0000,-0.0917,-0.1579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1579,0.0000,0.1579,0.0000,0.0000,0.0000,0.0000
3,3,1,-2.1084,-3.6457,-0.1391,0.1391,-0.1667,0.0276,0.0000,0.6225,0.2108,0.5600,0.0625,0.5768,-0.0168,-0.1223,-0.3009,-1.0000,-0.1223,-0.1391,-0.1391,0.2738,-0.2738,0.0000,0.0271,-0.0271,-0.3009,-0.2384,-0.2384,-0.2384,0.0000,0.0000,0.0000,-0.2108,-0.0276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0276,0.0000,0.0276,0.0000,0.0000,0.0000,0.0000
4,4,1,-2.6990,-3.8985,-0.0524,0.0524,-0.0500,-0.0024,0.0000,-0.0769,0.0269,0.6755,0.2477,0.6380,0.0374,-0.0898,-0.2721,-1.0000,-0.0898,-0.0524,-0.0524,0.2477,-0.2477,0.0000,0.0245,-0.0245,-0.2721,-0.0245,-0.0245,-0.0245,0.0000,0.0000,0.0000,-0.0269,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0024,0.0000,-0.0024,0.0000,0.0000,0.0000,0.0000
5,5,1,-1.9688,-3.6471,-0.0016,0.0016,-0.0026,0.0009,0.0000,-0.0075,0.0049,-0.0461,0.0386,0.8649,0.0890,-0.0907,-0.0444,-1.0000,-0.0907,-0.0016,-0.0016,0.0404,-0.0404,0.0000,0.0040,-0.0040,-0.0444,-0.0058,-0.0058,-0.0058,0.0000,0.0000,0.0000,-0.0049,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000
6,6,1,-1.0000,-2.1935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,7,1,-2.0472,-3.8135,0.0238,-0.0238,0.0186,0.0052,0.0000,0.0140,0.0046,-0.0006,0.0146,0.3209,-0.3215,-0.6547,-0.0244,-1.0000,0.3453,0.0238,0.0238,0.0222,-0.0222,0.0000,0.0022,-0.0022,-0.0244,-0.0097,-0.0097,-0.0097,0.0000,0.0000,0.0000,-0.0046,-0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0052,0.0000,0.0052,0.0000,0.0000,0.0000,0.0000
8,8,1,-3.0708,-4.5406,0.0357,-0.0357,0.0279,0.0078,0.0000,0.0210,0.0068,-0.0009,0.0220,0.4813,-0.4823,-0.4821,-0.0366,-1.0000,-0.4821,0.0357,0.0357,0.0333,-0.0333,0.0000,0.0033,-0.0033,-0.0366,-0.0146,-0.0146,-0.0146,0.0000,0.0000,0.0000,-0.0068,-0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0078,0.0000,0.0078,0.0000,0.0000,0.0000,0.0000
9,9,1,-2.5876,-4.3008,0.2504,-0.2504,0.1999,0.0505,0.0000,0.1688,0.0310,0.1430,0.0259,0.5043,-0.3613,-0.3883,-0.1075,-1.0000,-0.3883,-0.7496,0.2504,0.0978,-0.0978,0.0000,0.0097,-0.0097,-0.1075,-0.0816,-0.0816,-0.0816,0.0000,0.0000,0.0000,-0.0310,-0.0505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0505,0.0000,0.0505,0.0000,0.0000,0.0000,0.0000
10,10,1,0.9170,-0.1527,-0.0236,0.0236,-0.0125,-0.0111,0.0000,0.0163,-0.0289,0.2155,-0.1991,0.2070,0.0085,-0.0321,-0.7609,-1.0000,-0.0321,-0.0236,-0.0236,0.7374,0.2626,0.0000,0.0235,-0.0235,0.2391,0.0400,0.0400,0.0400,0.0000,0.0000,0.0000,0.0289,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0111,0.0000,-0.0111,0.0000,0.0000,0.0000,0.0000
